       color1       color2       pixelRatio      Response
       29.00        24.00        1208.00         1.00
       29.00        24.00        1208.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
       29.00        24.00        1208.00         1.00
       29.00        24.00        1208.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
        1.00        24.00          41.00         2.00
       29.00        24.00        1208.00         1.00
       29.00        24.00        1208.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
        1.00        26.00          38.00         2.00
        1.00        26.00          38.00         2.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       32.00        26.00        1230.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
        1.00        26.00          38.00         2.00
        1.00        26.00          38.00         2.00
       24.00        24.00        1000.00         1.00
       24.00        24.00        1000.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       47.00        51.00         921.00         1.00
       47.00        51.00         921.00         1.00
       47.00        51.00         921.00         1.00
       47.00        26.00        1807.00         2.00
       47.00        26.00        1807.00         2.00
       47.00        26.00        1807.00         2.00
       47.00        26.00        1807.00         2.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        47.00         553.00         2.00
       26.00        47.00         553.00         2.00
       47.00        47.00        1000.00         1.00
       47.00        47.00        1000.00         1.00
       47.00        47.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       26.00        26.00        1000.00         1.00
       24.00        26.00         923.00         1.00
       24.00        26.00         923.00         1.00
       24.00        24.00        1000.00         1.00
       24.00        24.00        1000.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        24.00        1083.00         1.00
       26.00        26.00        1000.00         1.00
