       color1       color2       pixelRatio      Response
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00         1.00       15000.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00        10.00        1500.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
       15.00         9.00        1666.00         2.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
        1.00         1.00        1000.00         1.00
